Date,Platform,Amount,Rate
2023-11-04,Wealthfront,50906.79,5.0
2023-11-04,CETES,64057.67,11.6
2023-11-04,Robinhood,6491.46,3.0
2023-11-04,IRA,104547.07,7.58
2023-11-04,Crypto,1567.98,-5.0
2023-11-04,Debt,-144530.37,0.0
2023-09-29,Wealthfront,42548.12,4.8
2023-09-29,CETES,59740.01,11.1
2023-09-29,"Real Estate",224000.0,8.0
2023-09-29,Robinhood,5724.0,5.0
2023-09-29,IRA,91818.88,6.0
2023-09-29,Crypto,1500.0,-10.0
2023-09-29,Debt,-138547.584,0.0
2023-11-04,"Real Estate",229043.91,15.0
2023-12-31,CETES,67055.19,11.5
2023-12-31,Wealthfront,49646.26,5.0
2023-12-31,"Real Estate",263929.0,15.0
2023-12-31,Crypto,1944.0,5.0
2023-12-31,IRA,119667.0,19.92
2023-12-31,Robinhood,7044.0,1.54
2023-12-31,Debt,-148356.0,0.0
2024-02-16,Wealthfront,97128.0,5.0
2024-02-16,"Real Estate",263889.0,15.0
2024-02-16,CETES,64122.0,11.0
2024-02-16,IRA,137429.0,15.41
2024-02-16,Robinhood,9805.0,9.7
2024-02-16,Crypto,2321.0,3.0
2024-02-16,Debt,-146984.0,0.0
2024-03-31,Wealthfront,89525.73,5.0
2024-03-31,IRA,148532.0,10.0
2024-03-31,CETES,65710.07,10.0
2024-03-31,Robinhood,17971.0,10.0
2024-03-31,Crypto,3539.0,20.0
2024-03-31,Debt,-150995.0,0.0
2024-03-31,"Real Estate",271734.0,15.0
2024-05-03,Wealthfront,89445.0,5.0
2024-05-03,CETES,64700.0,11.0
2024-05-03,"Real Estate",265136.0,15.0
2024-05-03,Robinhood,17427.0,7.0
2024-05-03,IRA,147092.0,10.0
2024-05-03,Crypto,2810.0,5.0
2024-05-03,Debt,-146976.0,0.0
2024-06-01,Wealthfront,89820.3,5.0
2024-06-01,Robinhood,18531.35,13.0
2024-06-01,Crypto,3696.0,5.0
2024-06-01,IRA,154738.68,7.2
2024-06-01,Debt,-146467.65,0.0
2024-06-01,"Real Estate",264857.94,15.0
2024-06-01,CETES,65216.97,10.85
2024-07-06,Wealthfront,93592.0,5.0
2024-07-06,Robinhood,22240.0,20.0
2024-07-06,CETES,61795.87,10.0
2024-07-06,"Real Estate",248466.36,15.0
2024-07-06,Debt,-142253.61,0.0
2024-07-06,IRA,162237.75,10.0
2024-07-06,Crypto,3125.0,3.0
2024-08-04,IRA,161506.23,8.0
2024-08-04,Robinhood,20081.0,10.0
2024-08-04,Crypto,3229.0,5.0
2024-08-04,Wealthfront,95474.0,5.0
2024-08-04,"Real Estate",234629.55,13.0
2024-08-04,Debt,-129117.63,0.0
2024-08-04,CETES,58424.36,10.0
2024-09-02,Robinhood,23484.73,17.0
2024-09-02,Crypto,3054.0,2.0
2024-09-02,CETES,57469.12,10.0
2024-09-02,"Real Estate",227410.95,13.0
2024-09-02,Debt,-124835.27,0.0
2024-09-02,IRA,173457.58,14.0
2024-09-02,Wealthfront,98030.36,5.0
2024-11-03,IRA,178430.15,14.0
2024-11-03,Robinhood,26536.0,20.0
2024-11-03,Wealthfront,100994.0,5.0
2024-11-03,"Real Estate",223998.5,13.0
2024-11-03,Debt,-122345.69,0.0
2024-11-03,CETES,55607.57,10.0
2024-11-03,Crypto,3494.0,4.0
2024-12-05,"Real Estate",222626.0,13.0
2024-12-05,IRA,188991.0,19.0
2024-12-05,Wealthfront,101393.0,4.25
2024-12-05,CETES,55239.0,10.2
2024-12-05,Robinhood,30221.0,28.0
2024-12-05,Crypto,8657.0,10.0
2024-12-05,Debt,-120976.0,0.0
2025-01-02,"Real Estate",218398.68,13.0
2025-01-02,Debt,-118678.47,0.0
2025-01-02,Robinhood,31852.52,21.0
2025-01-02,Crypto,8999.66,10.0
2025-01-02,IRA,188126.39,18.0
2025-01-02,Wealthfront,100740.0,4.0
2025-01-02,CETES,54104.6,10.0
2025-02-07,IRA,208183.66,15.0
2025-02-07,Wealthfront,101157.51,4.67
2025-02-07,Robinhood,33974.0,18.0
2025-02-07,CETES,54670.57,10.0
2025-02-07,Crypto,8449.0,10.0
2025-02-07,Debt,-118162.63,0.0
2025-02-07,"Real Estate",218584.54,10.0
2025-03-06,IRA,205849.05,11.0
2025-03-06,Wealthfront,109489.0,4.13
2025-03-06,Robinhood,73936.9,0.0
2025-03-06,CETES,55857.71,9.8
2025-03-06,Crypto,7477.0,5.0
2025-03-06,"Real Estate",221756.0,10.0
2025-03-06,Debt,-119561.32,0.0
